project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
renovation,1,467.8,5,urban,2,basic,0,2.6,68023,80,18,13.6,autumn,3,0.3,0.0,LOW,0
commercial,2,321.0,5,suburban,1,standard,1,2.2,119193,88,39,2.9,autumn,3,0.3,0.054,LOW,0
landscaping,3,457.4,3,urban,2,basic,0,4.3,65424,67,28,9.2,spring,1,0.1,0.174,LOW,0
commercial,2,467.8,1,urban,2,premium,2,3.8,122476,76,262,5.2,spring,1,0.1,0.636,HIGH,1
landscaping,3,159.3,3,urban,2,standard,1,3.5,19022,28,10,13.2,summer,2,0.1,0.223,LOW,0
renovation,1,124.3,7,urban,2,premium,2,2.6,40032,22,10,2.7,spring,1,0.1,0.163,LOW,0
commercial,2,374.4,6,rural,0,standard,1,2.3,60558,118,54,3.3,spring,1,0.1,0.048,LOW,0
commercial,2,154.8,1,urban,2,premium,2,1.0,19649,10,20,7.2,spring,1,0.1,0.649,HIGH,1
commercial,2,467.9,6,urban,2,basic,0,1.4,169187,41,18,7.9,spring,1,0.1,0.002,LOW,1
commercial,2,467.1,7,rural,0,premium,2,4.0,99263,37,104,12.2,summer,2,0.1,0.561,MEDIUM,1
landscaping,3,228.2,7,suburban,1,standard,1,3.7,172474,14,12,9.8,summer,2,0.1,0.063,LOW,0
commercial,2,138.6,1,suburban,1,basic,0,4.2,78550,100,53,6.5,autumn,3,0.3,0.376,MEDIUM,0
house,0,131.2,7,urban,2,premium,2,2.5,152237,10,11,13.7,winter,0,0.8,0.203,LOW,0
landscaping,3,469.2,3,rural,0,premium,2,1.8,115348,74,26,8.5,winter,0,0.8,0.161,LOW,0
landscaping,3,162.4,2,urban,2,standard,1,2.3,23236,98,11,2.8,autumn,3,0.3,0.041,LOW,0
house,0,53.2,4,rural,0,basic,0,4.1,102100,92,9,4.9,spring,1,0.1,0.279,LOW,0
commercial,2,32.2,7,suburban,1,premium,2,3.3,153843,36,7,2.6,autumn,3,0.3,0.322,LOW,1
renovation,1,401.6,1,suburban,1,premium,2,2.9,92121,9,86,7.3,spring,1,0.1,0.638,HIGH,1
house,0,331.4,3,suburban,1,standard,1,3.7,142013,113,49,7.9,spring,1,0.1,0.024,LOW,1
commercial,2,468.5,2,urban,2,basic,0,2.2,29661,84,45,13.6,winter,0,0.8,0.4,MEDIUM,1
landscaping,3,82.8,2,suburban,1,basic,0,3.4,16833,62,5,12.8,spring,1,0.1,0.019,LOW,0
renovation,1,208.1,4,suburban,1,basic,0,4.1,12569,72,15,7.9,spring,1,0.1,0.454,MEDIUM,1
landscaping,3,183.1,1,urban,2,standard,1,2.2,88742,95,15,12.2,autumn,3,0.3,0.104,LOW,1
landscaping,3,407.0,1,suburban,1,standard,1,2.0,21259,20,33,13.5,winter,0,0.8,0.811,HIGH,1
house,0,244.1,2,urban,2,basic,0,2.4,126194,97,20,10.1,summer,2,0.1,0.0,LOW,0
house,0,354.3,5,suburban,1,premium,2,2.4,167998,82,35,10.3,spring,1,0.1,0.01,LOW,0
house,0,108.4,2,urban,2,basic,0,1.8,103331,91,11,1.0,spring,1,0.1,0.291,LOW,0
renovation,1,450.3,1,urban,2,standard,1,3.2,164275,69,72,13.0,summer,2,0.1,0.2,LOW,0
renovation,1,65.9,4,rural,0,standard,1,4.9,79779,42,15,0.6,summer,2,0.1,0.422,MEDIUM,0
renovation,1,329.0,5,rural,0,basic,0,2.8,168043,24,18,15.0,summer,2,0.1,0.0,LOW,1
commercial,2,155.0,5,suburban,1,premium,2,2.6,130979,56,20,14.0,summer,2,0.1,0.037,LOW,0
landscaping,3,39.6,1,urban,2,basic,0,1.5,92276,75,5,8.1,summer,2,0.1,0.196,LOW,0
landscaping,3,260.5,2,suburban,1,basic,0,4.6,93749,116,23,13.5,spring,1,0.1,0.242,LOW,1
landscaping,3,274.5,4,rural,0,basic,0,2.7,128590,117,12,9.2,spring,1,0.1,0.0,LOW,0
renovation,1,102.8,3,rural,0,premium,2,3.1,7615,29,13,9.5,winter,0,0.8,0.345,LOW,0
renovation,1,115.8,7,rural,0,standard,1,3.5,113558,87,15,0.6,winter,0,0.8,0.332,LOW,0
landscaping,3,246.2,2,urban,2,standard,1,3.6,8580,94,19,8.1,winter,0,0.8,0.337,LOW,0
house,0,497.5,1,urban,2,basic,0,4.7,139409,23,226,1.1,winter,0,0.8,0.892,HIGH,1
house,0,180.5,5,urban,2,basic,0,1.2,51143,119,5,14.5,autumn,3,0.3,0.0,LOW,1
landscaping,3,498.2,6,suburban,1,basic,0,2.0,18063,64,12,10.1,summer,2,0.1,0.266,LOW,1
landscaping,3,370.3,5,urban,2,basic,0,4.7,84568,85,29,2.8,spring,1,0.1,0.318,LOW,0
house,0,183.6,7,suburban,1,standard,1,3.8,116520,69,19,11.7,winter,0,0.8,0.178,LOW,0
commercial,2,304.4,2,urban,2,premium,2,2.9,18740,119,65,7.4,spring,1,0.1,0.244,LOW,0
landscaping,3,458.4,6,rural,0,premium,2,3.1,153973,92,33,11.2,winter,0,0.8,0.253,LOW,0
commercial,2,344.5,5,rural,0,basic,0,4.1,132960,27,54,11.7,autumn,3,0.3,0.533,MEDIUM,1
renovation,1,368.4,6,urban,2,basic,0,3.0,20043,38,16,11.7,summer,2,0.1,0.231,LOW,1
renovation,1,448.4,7,suburban,1,premium,2,4.3,106073,21,47,11.1,autumn,3,0.3,0.638,HIGH,1
commercial,2,376.4,6,rural,0,basic,0,2.6,127698,57,35,10.8,autumn,3,0.3,0.0,LOW,1
renovation,1,245.4,4,urban,2,standard,1,2.1,181468,49,10,13.4,summer,2,0.1,0.0,LOW,0
renovation,1,75.5,2,rural,0,basic,0,4.8,132257,88,15,3.6,winter,0,0.8,0.33,LOW,0
house,0,222.5,5,urban,2,premium,2,2.3,99672,31,18,13.9,autumn,3,0.3,0.099,LOW,0
renovation,1,265.9,2,rural,0,premium,2,4.7,27045,24,63,7.8,winter,0,0.8,0.865,HIGH,1
house,0,412.0,7,suburban,1,premium,2,2.1,48789,21,31,14.0,spring,1,0.1,0.599,MEDIUM,1
landscaping,3,93.7,2,suburban,1,standard,1,1.3,183441,89,5,3.2,autumn,3,0.3,0.081,LOW,0
house,0,210.1,2,rural,0,basic,0,4.8,180994,29,61,4.4,winter,0,0.8,0.732,HIGH,1
commercial,2,99.3,4,suburban,1,premium,2,1.4,25946,23,8,14.1,summer,2,0.1,0.142,LOW,1
landscaping,3,145.0,3,urban,2,basic,0,3.2,193754,98,6,14.6,winter,0,0.8,0.202,LOW,0
house,0,475.3,2,rural,0,basic,0,3.2,19263,109,117,1.2,spring,1,0.1,0.519,MEDIUM,1
commercial,2,252.5,3,suburban,1,standard,1,3.8,37093,95,51,6.8,summer,2,0.1,0.124,LOW,1
house,0,86.3,2,suburban,1,standard,1,3.8,165964,100,16,10.2,spring,1,0.1,0.133,LOW,0
house,0,411.8,5,suburban,1,standard,1,2.8,167476,116,36,13.6,autumn,3,0.3,0.0,LOW,0
commercial,2,53.7,7,suburban,1,premium,2,4.9,185371,15,16,4.2,autumn,3,0.3,0.318,LOW,0
landscaping,3,30.2,7,urban,2,basic,0,1.3,42340,84,5,7.0,winter,0,0.8,0.209,LOW,0
renovation,1,87.9,7,urban,2,premium,2,1.1,18988,87,5,4.9,winter,0,0.8,0.199,LOW,0
renovation,1,314.8,6,rural,0,standard,1,1.2,25390,98,9,9.5,autumn,3,0.3,0.072,LOW,0
landscaping,3,286.1,1,rural,0,premium,2,4.8,169281,75,89,14.4,autumn,3,0.3,0.539,MEDIUM,0
commercial,2,332.1,2,urban,2,basic,0,4.9,35911,66,86,5.6,spring,1,0.1,0.703,HIGH,1
landscaping,3,406.8,1,suburban,1,basic,0,2.7,58567,23,37,10.2,autumn,3,0.3,0.444,MEDIUM,0
landscaping,3,365.5,2,rural,0,basic,0,4.2,11087,52,38,6.9,summer,2,0.1,0.464,MEDIUM,0
commercial,2,32.5,5,rural,0,premium,2,4.9,123331,104,10,6.9,spring,1,0.1,0.3,LOW,0
commercial,2,280.1,1,urban,2,premium,2,2.6,45530,57,125,3.3,winter,0,0.8,0.673,HIGH,1
landscaping,3,376.9,3,urban,2,premium,2,1.4,117351,38,12,13.0,spring,1,0.1,0.148,LOW,0
landscaping,3,195.6,2,suburban,1,premium,2,4.1,184788,58,26,10.0,autumn,3,0.3,0.237,LOW,1
renovation,1,216.3,6,urban,2,premium,2,2.4,87842,81,15,4.4,winter,0,0.8,0.221,LOW,0
house,0,362.1,3,urban,2,basic,0,3.2,130923,41,33,7.7,autumn,3,0.3,0.089,LOW,0
landscaping,3,387.4,2,rural,0,basic,0,1.7,144760,64,21,3.9,autumn,3,0.3,0.084,LOW,0
commercial,2,213.3,2,rural,0,standard,1,2.9,77775,67,46,12.9,summer,2,0.1,0.013,LOW,0
house,0,356.2,2,urban,2,basic,0,3.5,24402,48,56,4.8,autumn,3,0.3,0.583,MEDIUM,0
landscaping,3,200.5,5,rural,0,basic,0,3.4,22398,115,10,7.8,autumn,3,0.3,0.236,LOW,1
landscaping,3,302.5,2,urban,2,standard,1,2.3,23474,86,25,0.9,winter,0,0.8,0.35,LOW,0
landscaping,3,67.6,6,suburban,1,standard,1,3.4,114199,59,5,1.4,winter,0,0.8,0.262,LOW,1
landscaping,3,352.4,1,urban,2,premium,2,2.2,127067,18,38,8.8,winter,0,0.8,0.611,HIGH,1
house,0,200.9,4,suburban,1,standard,1,3.1,101660,94,30,3.0,winter,0,0.8,0.249,LOW,0
house,0,239.9,4,rural,0,premium,2,3.1,64443,58,40,8.4,summer,2,0.1,0.071,LOW,0
renovation,1,70.4,2,urban,2,premium,2,3.5,91552,74,10,6.2,autumn,3,0.3,0.113,LOW,0
commercial,2,202.8,1,suburban,1,basic,0,3.9,15746,112,67,10.2,spring,1,0.1,0.367,MEDIUM,1
landscaping,3,120.9,7,suburban,1,premium,2,4.3,169375,73,13,3.6,autumn,3,0.3,0.326,LOW,0
commercial,2,89.9,2,urban,2,standard,1,4.1,92888,97,20,14.4,winter,0,0.8,0.284,LOW,1
house,0,387.5,4,urban,2,basic,0,3.6,27673,91,35,13.4,winter,0,0.8,0.372,MEDIUM,1
commercial,2,263.7,5,suburban,1,premium,2,5.0,123514,71,68,14.4,summer,2,0.1,0.174,LOW,1
commercial,2,427.4,1,urban,2,basic,0,4.7,76818,22,150,8.6,winter,0,0.8,0.804,HIGH,1
renovation,1,422.2,3,suburban,1,basic,0,3.5,70158,35,37,5.4,autumn,3,0.3,0.042,LOW,0
house,0,303.8,1,suburban,1,premium,2,3.0,135146,80,99,8.4,spring,1,0.1,0.262,LOW,0
renovation,1,55.5,1,rural,0,standard,1,2.8,101783,102,13,4.1,spring,1,0.1,0.286,LOW,1
landscaping,3,480.2,5,rural,0,premium,2,4.2,26324,92,50,10.6,summer,2,0.1,0.394,MEDIUM,0
house,0,130.0,5,suburban,1,basic,0,1.3,170812,98,5,14.3,winter,0,0.8,0.061,LOW,0
landscaping,3,486.6,1,suburban,1,premium,2,1.5,113580,32,40,10.4,spring,1,0.1,0.311,LOW,1
landscaping,3,293.9,4,rural,0,premium,2,1.9,101301,96,15,9.3,winter,0,0.8,0.194,LOW,0
landscaping,3,142.4,2,urban,2,standard,1,4.1,68299,96,13,7.8,spring,1,0.1,0.172,LOW,0
renovation,1,196.8,3,urban,2,basic,0,3.9,58438,79,14,9.8,winter,0,0.8,0.082,LOW,0
landscaping,3,86.1,7,urban,2,premium,2,1.6,93951,70,5,10.7,summer,2,0.1,0.168,LOW,0
landscaping,3,220.2,1,suburban,1,premium,2,2.2,175605,25,26,9.1,spring,1,0.1,0.258,LOW,0
commercial,2,51.9,4,suburban,1,standard,1,2.0,188654,90,5,10.7,summer,2,0.1,0.099,LOW,0
landscaping,3,341.1,1,rural,0,basic,0,3.5,92672,103,48,8.4,autumn,3,0.3,0.127,LOW,0
commercial,2,416.1,6,urban,2,premium,2,3.7,27110,39,84,4.7,summer,2,0.1,0.839,HIGH,1
renovation,1,190.8,1,rural,0,basic,0,4.3,12351,25,43,14.3,summer,2,0.1,0.934,HIGH,1
commercial,2,362.2,6,urban,2,basic,0,1.9,186845,49,18,13.8,spring,1,0.1,0.051,LOW,0
commercial,2,215.3,1,urban,2,basic,0,3.7,142604,50,60,10.3,summer,2,0.1,0.343,LOW,0
landscaping,3,275.3,1,urban,2,premium,2,2.8,189079,11,37,11.0,autumn,3,0.3,0.659,HIGH,1
commercial,2,85.3,3,suburban,1,basic,0,4.2,77990,31,14,11.2,winter,0,0.8,0.191,LOW,0
house,0,399.7,7,suburban,1,basic,0,4.6,67435,63,42,12.8,winter,0,0.8,0.334,LOW,1
house,0,408.7,6,rural,0,standard,1,2.3,39874,95,33,12.7,spring,1,0.1,0.105,LOW,0
commercial,2,330.1,4,urban,2,standard,1,4.0,194388,95,73,3.2,spring,1,0.1,0.195,LOW,0
house,0,372.9,1,urban,2,standard,1,3.1,131868,114,126,2.6,spring,1,0.1,0.241,LOW,0
house,0,301.1,5,suburban,1,standard,1,3.4,68488,73,33,12.6,winter,0,0.8,0.207,LOW,1
renovation,1,79.1,5,urban,2,premium,2,1.2,9657,95,5,14.6,autumn,3,0.3,0.0,LOW,0
renovation,1,130.1,6,urban,2,premium,2,3.8,105341,106,11,7.5,summer,2,0.1,0.147,LOW,0
house,0,39.4,3,suburban,1,standard,1,1.3,163402,65,5,12.2,autumn,3,0.3,0.0,LOW,0
commercial,2,369.0,1,urban,2,basic,0,3.6,12481,94,99,12.7,winter,0,0.8,0.44,MEDIUM,1
commercial,2,345.5,3,rural,0,premium,2,3.6,140096,22,105,6.5,autumn,3,0.3,0.583,MEDIUM,0
renovation,1,181.5,3,urban,2,premium,2,4.9,104958,16,28,11.4,summer,2,0.1,0.703,HIGH,1
renovation,1,64.6,7,urban,2,basic,0,4.7,38627,106,5,9.4,summer,2,0.1,0.206,LOW,0
landscaping,3,391.0,3,rural,0,premium,2,1.7,126060,46,20,12.6,winter,0,0.8,0.044,LOW,1
renovation,1,150.6,4,rural,0,premium,2,3.3,29735,113,20,6.5,winter,0,0.8,0.218,LOW,0
landscaping,3,160.3,1,rural,0,standard,1,1.4,11541,93,13,5.7,summer,2,0.1,0.12,LOW,0
commercial,2,290.5,4,rural,0,basic,0,2.9,8091,15,58,1.0,summer,2,0.1,0.833,HIGH,1
house,0,141.4,6,suburban,1,standard,1,3.3,15793,29,19,3.7,spring,1,0.1,0.344,LOW,0
house,0,493.2,2,rural,0,standard,1,2.6,39595,38,77,11.3,winter,0,0.8,0.811,HIGH,1
commercial,2,95.7,7,suburban,1,premium,2,2.7,187067,113,11,12.2,summer,2,0.1,0.046,LOW,1
house,0,211.0,2,urban,2,standard,1,1.4,128601,91,12,8.0,spring,1,0.1,0.055,LOW,0
renovation,1,106.4,4,urban,2,basic,0,1.7,148511,57,5,7.2,spring,1,0.1,0.03,LOW,0
landscaping,3,378.6,2,urban,2,premium,2,4.7,30082,82,51,10.5,autumn,3,0.3,0.406,MEDIUM,1
house,0,146.2,5,suburban,1,basic,0,3.7,192470,24,13,13.4,spring,1,0.1,0.0,LOW,0
commercial,2,71.2,7,suburban,1,standard,1,4.7,174005,77,12,9.6,summer,2,0.1,0.167,LOW,0
renovation,1,78.4,7,urban,2,premium,2,2.4,96646,28,5,4.1,autumn,3,0.3,0.195,LOW,0
house,0,42.1,3,rural,0,premium,2,3.5,151172,51,9,8.0,summer,2,0.1,0.101,LOW,0
landscaping,3,443.2,4,rural,0,premium,2,2.1,62258,29,31,5.5,spring,1,0.1,0.145,LOW,0
house,0,303.3,3,urban,2,standard,1,2.1,191155,112,22,10.0,autumn,3,0.3,0.075,LOW,0
house,0,470.3,7,suburban,1,standard,1,3.7,41383,103,80,1.0,summer,2,0.1,0.485,MEDIUM,1
house,0,178.2,4,urban,2,standard,1,2.5,198189,98,14,12.9,autumn,3,0.3,0.0,LOW,0
landscaping,3,134.9,1,rural,0,standard,1,3.5,98832,95,31,3.8,spring,1,0.1,0.263,LOW,0
commercial,2,472.1,5,urban,2,basic,0,1.3,128052,24,19,6.0,winter,0,0.8,0.062,LOW,0
renovation,1,242.3,6,urban,2,premium,2,4.7,40923,50,26,8.6,winter,0,0.8,0.199,LOW,0
house,0,224.3,4,rural,0,premium,2,1.1,108004,53,14,7.1,spring,1,0.1,0.081,LOW,0
landscaping,3,210.0,6,rural,0,basic,0,2.6,51131,19,12,1.5,autumn,3,0.3,0.223,LOW,1
house,0,318.8,3,urban,2,premium,2,4.5,11498,51,109,0.7,spring,1,0.1,1.0,HIGH,1
house,0,358.1,7,suburban,1,premium,2,4.3,104899,43,62,6.6,summer,2,0.1,0.642,HIGH,1
house,0,138.7,1,rural,0,basic,0,4.5,84831,101,70,3.4,winter,0,0.8,0.332,LOW,0
renovation,1,178.7,4,suburban,1,premium,2,1.8,72437,79,16,0.6,winter,0,0.8,0.398,MEDIUM,0
renovation,1,471.9,3,suburban,1,standard,1,3.4,174897,99,43,10.0,autumn,3,0.3,0.057,LOW,0
landscaping,3,51.0,6,urban,2,standard,1,4.0,23295,94,5,13.4,autumn,3,0.3,0.001,LOW,1
commercial,2,128.7,3,rural,0,standard,1,4.8,98952,68,53,2.7,winter,0,0.8,0.331,LOW,1
house,0,237.5,6,urban,2,premium,2,2.9,179818,108,24,7.6,winter,0,0.8,0.082,LOW,1
house,0,301.2,3,urban,2,basic,0,4.1,153004,50,57,1.1,summer,2,0.1,0.522,MEDIUM,0
house,0,411.2,4,suburban,1,premium,2,3.0,176727,44,55,11.1,summer,2,0.1,0.246,LOW,0
house,0,316.2,1,suburban,1,standard,1,3.7,28647,113,98,9.8,autumn,3,0.3,0.352,MEDIUM,1
landscaping,3,486.8,6,urban,2,basic,0,1.3,188377,42,6,9.7,autumn,3,0.3,0.0,LOW,0
renovation,1,74.7,4,urban,2,basic,0,4.3,155004,115,5,14.7,spring,1,0.1,0.067,LOW,0
landscaping,3,83.2,5,urban,2,standard,1,3.3,75071,86,6,1.2,spring,1,0.1,0.273,LOW,0
commercial,2,128.5,1,urban,2,premium,2,2.5,32469,36,39,14.9,summer,2,0.1,0.218,LOW,0
house,0,192.5,3,urban,2,premium,2,1.3,122588,44,11,13.5,spring,1,0.1,0.066,LOW,0
house,0,420.8,6,rural,0,basic,0,2.0,153845,106,29,5.1,autumn,3,0.3,0.0,LOW,0
house,0,311.2,5,suburban,1,basic,0,1.1,139224,35,9,6.6,summer,2,0.1,0.089,LOW,1
renovation,1,329.4,6,suburban,1,premium,2,1.1,11999,13,13,2.7,spring,1,0.1,0.494,MEDIUM,1
renovation,1,373.9,7,rural,0,basic,0,4.2,125021,105,28,10.5,summer,2,0.1,0.154,LOW,0
renovation,1,397.5,7,rural,0,basic,0,4.4,63046,14,31,12.7,winter,0,0.8,0.711,HIGH,1
landscaping,3,137.4,4,urban,2,premium,2,3.4,114172,72,12,4.5,winter,0,0.8,0.222,LOW,0
commercial,2,457.0,4,urban,2,basic,0,3.9,64182,17,87,1.9,summer,2,0.1,0.845,HIGH,1
house,0,297.2,4,rural,0,premium,2,4.0,55186,94,65,10.3,autumn,3,0.3,0.141,LOW,0
commercial,2,426.2,4,suburban,1,basic,0,1.9,137029,78,28,7.4,spring,1,0.1,0.034,LOW,0
house,0,450.2,2,suburban,1,premium,2,2.0,70610,80,63,6.5,winter,0,0.8,0.076,LOW,0
renovation,1,418.3,5,suburban,1,standard,1,4.1,165222,17,43,5.6,autumn,3,0.3,0.608,HIGH,1
commercial,2,145.4,5,urban,2,premium,2,4.5,170946,9,39,4.4,summer,2,0.1,0.781,HIGH,1
renovation,1,192.8,4,urban,2,premium,2,1.2,94103,32,6,10.7,summer,2,0.1,0.05,LOW,0
commercial,2,362.5,3,suburban,1,basic,0,2.9,143643,89,59,3.0,winter,0,0.8,0.272,LOW,0
commercial,2,406.6,1,rural,0,basic,0,2.4,40724,11,100,7.5,autumn,3,0.3,0.64,HIGH,1
commercial,2,326.9,4,suburban,1,basic,0,2.7,82362,27,31,14.5,summer,2,0.1,0.113,LOW,0
landscaping,3,186.7,1,suburban,1,standard,1,1.8,51971,81,15,6.5,summer,2,0.1,0.157,LOW,0
commercial,2,421.6,6,suburban,1,premium,2,3.2,147431,16,76,5.9,winter,0,0.8,0.577,MEDIUM,1
renovation,1,96.7,1,urban,2,premium,2,4.0,179128,42,25,10.1,winter,0,0.8,0.37,MEDIUM,1
commercial,2,54.5,4,rural,0,premium,2,2.0,77658,99,7,14.7,spring,1,0.1,0.066,LOW,1
commercial,2,69.0,5,urban,2,premium,2,4.0,27125,58,12,12.3,winter,0,0.8,0.278,LOW,0
house,0,52.3,4,rural,0,premium,2,4.6,192649,63,13,7.7,winter,0,0.8,0.328,LOW,0
landscaping,3,264.8,6,urban,2,basic,0,4.9,134356,28,16,5.3,winter,0,0.8,0.278,LOW,0
commercial,2,418.6,6,urban,2,premium,2,3.1,61548,91,86,2.2,autumn,3,0.3,0.261,LOW,0
renovation,1,30.1,5,suburban,1,standard,1,2.0,168583,106,5,3.9,spring,1,0.1,0.166,LOW,0
commercial,2,486.3,5,rural,0,standard,1,4.2,31041,65,109,6.2,winter,0,0.8,0.973,HIGH,1
landscaping,3,283.3,2,suburban,1,premium,2,4.5,86021,67,41,9.9,winter,0,0.8,0.255,LOW,1
renovation,1,40.4,7,urban,2,premium,2,2.2,157345,117,5,4.2,spring,1,0.1,0.217,LOW,1
renovation,1,78.5,3,suburban,1,basic,0,1.7,143842,42,5,2.3,spring,1,0.1,0.146,LOW,0
renovation,1,255.6,1,urban,2,premium,2,2.7,98784,53,69,1.8,autumn,3,0.3,0.484,MEDIUM,1
commercial,2,80.8,5,rural,0,basic,0,1.8,164127,24,7,3.4,autumn,3,0.3,0.078,LOW,0
renovation,1,457.6,1,rural,0,standard,1,1.9,147450,91,94,1.3,summer,2,0.1,0.384,MEDIUM,0
renovation,1,30.9,5,rural,0,premium,2,5.0,61318,39,5,8.1,spring,1,0.1,0.151,LOW,0
commercial,2,185.2,7,suburban,1,standard,1,4.5,82023,43,44,2.2,autumn,3,0.3,0.276,LOW,0
house,0,386.1,5,rural,0,premium,2,2.2,117554,17,41,10.4,summer,2,0.1,0.361,MEDIUM,1
house,0,82.1,2,urban,2,premium,2,3.7,54742,70,17,14.2,summer,2,0.1,0.104,LOW,1
commercial,2,411.1,7,urban,2,premium,2,4.0,8088,18,79,6.0,spring,1,0.1,0.911,HIGH,1
landscaping,3,294.5,2,urban,2,standard,1,4.9,146688,67,32,13.1,summer,2,0.1,0.099,LOW,0
house,0,452.0,1,urban,2,standard,1,1.7,118422,65,85,2.3,autumn,3,0.3,0.448,MEDIUM,1
renovation,1,125.4,5,urban,2,standard,1,3.1,68229,102,7,8.4,summer,2,0.1,0.101,LOW,0
commercial,2,325.7,2,suburban,1,standard,1,1.0,68974,62,33,0.9,winter,0,0.8,0.262,LOW,0
renovation,1,344.6,5,suburban,1,basic,0,3.7,12916,41,21,12.1,spring,1,0.1,0.394,MEDIUM,1
house,0,35.0,4,urban,2,premium,2,2.0,199237,54,5,4.2,summer,2,0.1,0.256,LOW,0
renovation,1,403.0,6,rural,0,basic,0,1.7,152889,54,21,1.0,spring,1,0.1,0.174,LOW,0
commercial,2,314.3,5,urban,2,premium,2,3.4,140726,60,50,12.3,winter,0,0.8,0.179,LOW,0
renovation,1,446.3,4,suburban,1,standard,1,4.0,104398,101,61,2.5,winter,0,0.8,0.252,LOW,0
landscaping,3,136.1,7,urban,2,standard,1,4.5,69229,17,11,2.3,autumn,3,0.3,0.411,MEDIUM,1
renovation,1,451.8,5,urban,2,basic,0,4.9,140176,98,52,1.9,autumn,3,0.3,0.384,MEDIUM,1
house,0,420.2,5,rural,0,basic,0,3.6,10526,47,76,0.8,spring,1,0.1,0.906,HIGH,1
renovation,1,271.4,6,rural,0,premium,2,1.9,12864,50,15,11.6,winter,0,0.8,0.479,MEDIUM,1
renovation,1,403.0,7,rural,0,basic,0,2.9,57782,19,21,13.0,summer,2,0.1,0.149,LOW,1
renovation,1,209.3,1,urban,2,standard,1,4.0,172264,97,63,2.0,winter,0,0.8,0.267,LOW,0
commercial,2,285.5,5,rural,0,basic,0,1.3,165935,86,13,10.7,autumn,3,0.3,0.042,LOW,1
landscaping,3,82.2,6,suburban,1,basic,0,3.5,161600,115,5,8.7,spring,1,0.1,0.04,LOW,0
landscaping,3,109.9,1,urban,2,basic,0,2.9,158089,113,13,2.9,spring,1,0.1,0.135,LOW,0
commercial,2,35.8,1,rural,0,premium,2,4.0,163177,114,23,13.1,summer,2,0.1,0.23,LOW,0
landscaping,3,482.3,4,urban,2,premium,2,4.4,111938,18,43,12.6,winter,0,0.8,0.65,HIGH,1
renovation,1,449.3,5,suburban,1,standard,1,1.2,35915,70,11,12.7,spring,1,0.1,0.082,LOW,0
house,0,324.3,4,rural,0,basic,0,4.1,92230,98,44,13.0,autumn,3,0.3,0.17,LOW,0
renovation,1,253.7,7,urban,2,basic,0,2.6,149991,105,9,7.3,spring,1,0.1,0.019,LOW,0
landscaping,3,265.1,7,urban,2,premium,2,2.7,105411,51,11,9.0,winter,0,0.8,0.093,LOW,1
house,0,294.3,6,rural,0,standard,1,4.9,69982,31,52,7.3,spring,1,0.1,0.651,HIGH,1
house,0,390.4,3,urban,2,premium,2,4.0,39242,118,72,10.7,autumn,3,0.3,0.398,MEDIUM,1
landscaping,3,433.4,7,suburban,1,basic,0,2.5,66815,51,12,12.8,autumn,3,0.3,0.051,LOW,1
renovation,1,429.9,5,suburban,1,standard,1,2.0,104396,44,18,8.1,summer,2,0.1,0.0,LOW,1
house,0,393.0,3,suburban,1,basic,0,1.5,14352,14,19,8.8,summer,2,0.1,0.512,MEDIUM,0
landscaping,3,298.8,6,rural,0,basic,0,3.5,182035,76,22,2.4,summer,2,0.1,0.122,LOW,0
landscaping,3,493.4,1,suburban,1,basic,0,1.1,143987,59,29,1.4,winter,0,0.8,0.452,MEDIUM,1
house,0,146.0,3,urban,2,premium,2,2.3,146903,90,17,6.5,winter,0,0.8,0.084,LOW,0
house,0,337.4,1,suburban,1,premium,2,2.0,119600,103,75,8.7,spring,1,0.1,0.232,LOW,0
commercial,2,399.3,7,suburban,1,standard,1,4.6,129063,61,65,13.8,winter,0,0.8,0.362,MEDIUM,1
renovation,1,123.0,1,suburban,1,premium,2,1.8,149865,51,16,13.6,summer,2,0.1,0.114,LOW,1
commercial,2,497.9,6,urban,2,standard,1,1.4,65225,53,29,4.8,summer,2,0.1,0.013,LOW,0
commercial,2,162.5,4,urban,2,standard,1,1.2,182024,65,7,10.7,spring,1,0.1,0.0,LOW,0
landscaping,3,337.2,7,urban,2,premium,2,2.6,100551,15,15,6.6,autumn,3,0.3,0.093,LOW,0
renovation,1,94.3,5,suburban,1,premium,2,1.1,187179,42,5,12.2,autumn,3,0.3,0.007,LOW,0
commercial,2,471.1,3,suburban,1,premium,2,2.2,69952,94,65,8.6,summer,2,0.1,0.0,LOW,0
landscaping,3,229.5,7,urban,2,basic,0,3.4,185763,99,8,10.5,winter,0,0.8,0.237,LOW,0
renovation,1,199.3,5,suburban,1,premium,2,4.7,177395,17,26,10.8,spring,1,0.1,0.648,HIGH,1
house,0,180.1,5,rural,0,premium,2,4.8,185043,26,51,5.7,autumn,3,0.3,0.563,MEDIUM,1
commercial,2,403.1,5,urban,2,premium,2,2.7,109796,118,51,10.6,winter,0,0.8,0.136,LOW,0
renovation,1,322.3,1,suburban,1,premium,2,4.6,8516,55,120,6.4,winter,0,0.8,1.0,HIGH,1
house,0,101.5,4,rural,0,standard,1,1.5,178075,90,6,11.1,autumn,3,0.3,0.062,LOW,1
